country,total_cases,new_cases,total_cases_per_million,total_deaths,new_deaths,total_deaths_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,people_fully_vaccinated_per_hundred,code,continent,population,median_age,trend_status,last_update
Mayotte,42027.0,0.0,137667.52,187.0,0.0,612.55444,,,,,,MYT,Africa,305279.0,16.697999954223633,Insufficient data,2026-04-26
Guatemala,1255440.0,0.0,70341.14,20205.0,0.0,1132.0674,20383476.0,8937923.0,7130895.0,,39.953743,GTM,North America,17847877.0,22.24399948120117,Stable,2026-04-26
Mauritius,332300.0,0.0,260395.86,1074.0,0.0,841.60443,2616012.0,1123773.0,1088142.0,,85.26863,MUS,Africa,1276134.0,36.51300048828125,Insufficient data,2026-04-26
Mauritania,63891.0,0.0,13104.115,997.0,0.0,204.48581,4075874.0,2103754.0,1540597.0,,31.597816,MRT,Africa,4875644.0,16.992000579833984,Insufficient data,2026-04-26
Guernsey,35326.0,0.0,554133.3,67.0,0.0,1050.9803,178525.0,54223.0,52710.0,,82.68235,GGY,Europe,63750.0,43.880001068115234,Insufficient data,2026-04-26
Martinique,230354.0,0.0,659167.5,1104.0,0.0,3159.1418,,,,,,MTQ,North America,349462.0,48.23899841308594,Insufficient data,2026-04-26
Guinea,38594.0,0.0,2745.9001,468.0,0.0,33.297436,12049511.0,8715641.0,5853990.0,,41.650185,GIN,Africa,14055136.0,17.836000442504883,Insufficient data,2026-04-26
Marshall Islands,16297.0,0.0,406469.78,17.0,0.0,424.0036,,,,,,MHL,Oceania,40094.0,20.96500015258789,Insufficient data,2026-04-26
Vietnam,11624000.0,0.0,116612.4,43206.0,0.0,433.44418,266492140.0,90497670.0,85961570.0,,86.23695,VNM,Asia,99680656.0,31.9379997253418,Insufficient data,2026-04-26
Guinea-Bissau,9614.0,0.0,4566.0605,177.0,0.0,84.06415,920752.0,747057.0,547637.0,,26.0094,GNB,Africa,2105535.0,18.732999801635746,Insufficient data,2026-04-26
Malta,125310.0,0.0,237242.38,1128.0,0.0,2135.5789,1408793.0,478953.0,471565.0,,89.27875,MLT,Europe,528194.0,39.74599838256836,Stable,2026-04-26
Algeria,272440.0,0.0,5990.669,6881.0,0.0,151.30595,15267442.0,7840131.0,6481186.0,,14.251447,DZA,Africa,45477391.0,27.982999801635746,Insufficient data,2026-04-26
Guyana,75520.0,0.0,91913.96,1312.0,0.0,1596.8103,967861.0,497550.0,384507.0,,46.797615,GUY,South America,821638.0,25.304000854492188,Insufficient data,2026-04-26
Mali,33236.0,0.0,1440.494,743.0,0.0,32.20264,5922585.0,4354292.0,3633589.0,,15.748474,MLI,Africa,23072641.0,15.348999977111816,Insufficient data,2026-04-26
American Samoa,8359.0,0.0,172831.6,34.0,0.0,702.9877,,,,,,ASM,Oceania,48365.0,27.927000045776367,Insufficient data,2026-04-26
Haiti,34901.0,0.0,3033.919,860.0,0.0,74.759186,680104.0,521396.0,366339.0,,3.1845589,HTI,North America,11503603.0,23.25,Insufficient data,2026-04-26
Mexico,7630014.0,0.0,59325.316,335105.0,0.0,2605.5273,223158990.0,97179496.0,81849960.0,,63.640446,MEX,North America,128613116.0,28.527999877929688,Increasing,2026-04-26
Venezuela,552745.0,0.0,19591.844,5856.0,0.0,207.56378,37860990.0,22157232.0,14966671.0,,53.048817,VEN,South America,28213015.0,28.809999465942383,Insufficient data,2026-04-26
Germany,38437953.0,,457125.44,174979.0,,2080.9473,193241460.0,64876300.0,63566136.0,,75.596375,DEU,Europe,84086227.0,45.02399826049805,Insufficient data,2026-04-26
Morocco,1279115.0,0.0,34265.92,16305.0,0.0,436.791,55389600.0,25020168.0,23521988.0,,63.012527,MAR,Africa,37329068.0,28.875,Insufficient data,2026-04-26
Ghana,172843.0,0.0,5214.1,1463.0,0.0,44.133858,25624828.0,13864186.0,10780003.0,,32.519695,GHA,Africa,33149152.0,20.73600006103516,Insufficient data,2026-04-26
Montserrat,1403.0,0.0,313449.5,8.0,0.0,1787.31,4619.0,2104.0,1952.0,,43.610367,MSR,North America,4476.0,41.3849983215332,Insufficient data,2026-04-26
Vatican,26.0,0.0,50682.26,0.0,0.0,0.0,,,,,,VAT,Europe,513.0,59.875,Insufficient data,2026-04-26
Andorra,48015.0,0.0,602280.44,159.0,0.0,1994.4307,157072.0,57913.0,53501.0,,67.10946,AND,Europe,79722.0,42.83200073242188,Insufficient data,2026-04-26
Gibraltar,20550.0,0.0,546092.3,113.0,0.0,3002.8435,132810.0,42175.0,41465.0,,110.18841,GIB,Europe,37631.0,38.948001861572266,Insufficient data,2026-04-26
Montenegro,251280.0,0.0,408818.7,2654.0,0.0,4317.9116,679171.0,292783.0,284869.0,,46.346615,MNE,Europe,614649.0,39.08000183105469,Insufficient data,2026-04-26
Greece,5865800.0,0.0,563343.2,40252.0,0.0,3865.7454,22467978.0,7938031.0,7647076.0,,73.44144,GRC,Europe,10412481.0,45.39099884033203,Improving,2026-04-26
Mongolia,1011489.0,0.0,298725.5,2136.0,0.0,630.83,5668144.0,2284018.0,2185282.0,,64.53846,MNG,Asia,3386015.0,26.617000579833984,Insufficient data,2026-04-26
Monaco,17181.0,0.0,441103.97,67.0,0.0,1720.154,71929.0,28875.0,25667.0,,65.8973,MCO,Europe,38950.0,54.97499847412109,Insufficient data,2026-04-26
Greenland,11971.0,0.0,213714.42,21.0,0.0,374.90628,79738.0,41227.0,38511.0,,68.75246,GRL,North America,56014.0,33.92399978637695,Insufficient data,2026-04-26
Moldova,656460.0,0.0,215941.78,12290.0,0.0,4042.7817,2293086.0,1109524.0,1078961.0,,35.492302,MDA,Europe,3039986.0,37.47800064086914,Insufficient data,2026-04-26
Grenada,19693.0,0.0,168419.88,238.0,0.0,2035.4407,90686.0,44241.0,39034.0,,33.38294,GRD,North America,116928.0,32.88600158691406,Insufficient data,2026-04-26
Micronesia (country),31765.0,0.0,283307.47,62.0,0.0,552.9691,,,,,,FSM,Oceania,112122.0,22.607999801635746,Insufficient data,2026-04-26
Guadeloupe,203235.0,0.0,528292.0,1021.0,0.0,2654.0022,,,,,,GLP,North America,384702.0,45.86299896240234,Insufficient data,2026-04-26
Maldives,186694.0,0.0,356207.4,316.0,0.0,602.92,951764.0,399308.0,385167.0,,73.488884,MDV,Asia,524116.0,30.339000701904297,Insufficient data,2026-04-26
Malaysia,5329836.0,0.0,153617.53,37351.0,0.0,1076.5375,72657256.0,28138564.0,27551144.0,,79.40842,MYS,Asia,34695494.0,29.572999954223636,Insufficient data,2026-04-26
Kazakhstan,1504370.0,0.0,75088.555,19072.0,0.0,951.9526,38355604.0,10858101.0,10629063.0,,53.0535,KAZ,Asia,20034612.0,29.347999572753903,Insufficient data,2026-04-26
Ireland,1754164.0,0.0,343279.62,9778.0,0.0,1913.4973,11148281.0,4112237.0,4065584.0,,79.5611,IRL,Europe,5110015.0,37.99700164794922,Stable,2026-04-26
Lebanon,1239904.0,0.0,215842.23,10947.0,0.0,1905.6515,5814699.0,2740227.0,2414223.0,,42.026745,LBN,Asia,5744492.0,28.106000900268555,Insufficient data,2026-04-26
Isle of Man,38008.0,0.0,451680.38,116.0,0.0,1378.5236,189994.0,69560.0,67106.0,,79.74759,IMN,Europe,84148.0,45.47600173950195,Insufficient data,2026-04-26
Latvia,977803.0,0.0,519815.16,7739.0,0.0,4114.172,2979624.0,1346184.0,1305976.0,,69.4277,LVA,Europe,1881059.0,42.94599914550781,Insufficient data,2026-04-26
Israel,4841703.0,0.0,531871.56,12707.0,0.0,1395.8915,18852564.0,7055466.0,6385731.0,,70.14864,ISR,Asia,9103143.0,29.086000442504883,Insufficient data,2026-04-26
Laos,219060.0,0.0,28979.992,671.0,0.0,88.768265,11111066.0,5888649.0,5222417.0,,69.08865,LAO,Asia,7559008.0,23.972000122070312,Insufficient data,2026-04-26
Zambia,349892.0,0.0,17361.838,4078.0,0.0,202.35266,13615707.0,11711565.0,9213802.0,,45.719406,ZMB,Africa,20152935.0,17.288000106811523,Insufficient data,2026-04-26
Italy,26969913.0,0.0,452370.3,198523.0,0.0,3329.8555,150321540.0,50936720.0,49484584.0,,83.00122,ITA,Europe,59619106.0,47.11600112915039,Insufficient data,2026-04-26
Kyrgyzstan,88953.0,0.0,12788.335,1024.0,0.0,147.21544,3661335.0,1736541.0,1406016.0,,20.2136,KGZ,Asia,6955792.0,24.975000381469727,Insufficient data,2026-04-26
Jamaica,157667.0,0.0,55533.17,3634.0,0.0,1279.9606,1529113.0,859773.0,760800.0,,26.796753,JAM,North America,2839150.0,31.152999877929688,Insufficient data,2026-04-26
Kuwait,667290.0,0.0,145394.48,2570.0,0.0,559.97217,8261221.0,3457498.0,3346176.0,,72.90916,KWT,Asia,4589514.0,33.4630012512207,Insufficient data,2026-04-26
